"","id","x","y"
"1","z",197991,206965
"2","o",126180,208443
"3","o",124410,207193
"4","1",183475,213551
"5","o",183707,213435
"6","d",114183,208949
"7","cd",113605,206766
"8","1",113629,206732
"9","1",113930,208281
"10","1",114373,209497
"11","o",183363,215315
"12","z",119732,206950
"13","1",183066,214073
"14","z",103535,204244
"15","d",114183,208949
"16","1",183981,216701
"17","1",183843,216950
"18","1",184503,192238
"19","1",185374,192078
"20","1",113564,206759
"21","1",196752,176371
"22","4",196752,176371
"23","f",177318,209551
"24","z",178121,209594
"25","o",178121,209594
"26","o",199885,214320
"27","o",197370,215135
"28","o",119732,206950
"29","f",99500,204248
"30","z",200019,218398
"31","1",178028,242120
"32","z",60537,210030
"33","z",59983,210764
"34","f",99034,201518
"35","cd",113605,206766
"36","o",97335,203418
"37","f",118752,189879
"38","o",102560,199091
"39","o",102560,199091
"40","f",103174,199506
"41","f",103174,199506
"42","o",101430,198342
"43","z",82952,194885
"44","z",100733,197320
"45","o",100056,197736
"46","cd",100056,197736
"47","z",99938,197142
"48","z",99938,197142
"49","o",97106,195512
"50","f",75943,217432
"51","z",99023,181622
"52","z",97584,197275
